SampleID	Tissue	Genotype	directory	file_prefix
BW1	endosperm	B73xW22 	/home/springer/data_release/umgc/hiseq/180927_D00635_0413_BCCTE5ANXX/Springer_Project_064	SNA_Pool7_Index1_S15
BW2		B73xW22 		SNA_Pool7_Index2_S16
BW3		B73xW22 		SNA_Pool7_Index3_S17
PB1		PH207xB73		SNA_Pool7_Index4_S18
PB2		PH207xB73		SNA_Pool7_Index5_S19
PB3		PH207xB73		SNA_Pool7_Index6_S20
BP1		B73xPH207		SNA_Pool7_Index7_S21
BP2		B73xPH207		SNA_Pool7_Index8_S22
BP3		B73xPH207		SNA_Pool7_Index9_S23
PW1		PH207xW22		SNA_Pool7_Index10_S24
PW2		PH207xW22		SNA_Pool7_Index11_S25
PW3		PH207xW22		SNA_Pool7_Index12_S26
WB1		W22xB73		SNA_Pool7_Index13_S27
WB2		W22xB73		SNA_Pool7_Index14_S28
WB3		W22xB73		SNA_Pool7_Index23_S33
WP1		W22xPH207		SNA_Pool7_Index25_S34
WP2		W22xPH207		SNA_Pool7_Index27_S35
WP3		W22xPH207		SNA_Pool7_Index19_S29
