SampleID	Tissue	Genotype	directory	file_prefix
	seedling_leaf3	B73	/home/springer/data_release/umgc/hiseq/130107_SN1073_0307_AD1M73ACXX/Project_Springer_Project_014	B73_ACAGTG_L007
				B73_ACAGTG_L008
		Mo17		Mo17_GCCAAT_L007
				Mo17_GCCAAT_L008
		B73	/home/springer/data_release/umgc/hiseq/130220_SN1073_0313_BD1WL4ACXX/Project_Springer_Project_014	B73_ACAGTG_L005
				B73_ACAGTG_L006
		Mo17		Mo17_GCCAAT_L005
				Mo17_GCCAAT_L006
		B73	/home/springer/data_release/umgc/hiseq/130417_SN1073_0320_AC221LACXX/Project_Springer_Project_014	B73_ACAGTG_L001
				Mo17_GCCAAT_L001
		CML322	/home/springer/data_release/umgc/hiseq/130726_SN1073_0336_AD2AE7ACXX/Project_Springer_Project_017	CML322_CACGAT_L004
				CML322_CACGAT_L005
				CML322_CACGAT_L006
		Oh43		Oh43_GGTAGC_L004
				Oh43_GGTAGC_L005
				Oh43_GGTAGC_L006
		Tx303		Tx303_GTGCTA_L004
				Tx303_GTGCTA_L005
				Tx303_GTGCTA_L006
		CML322	/home/springer/data_release/umgc/hiseq/130905_SN1073_0343_AC2U63ACXX/Project_Springer_Project_017	CML322_CACGAT_L001
				CML322_CACGAT_L002
				CML322_CACGAT_L003
		Oh43		Oh43_GGTAGC_L001
				Oh43_GGTAGC_L002
				Oh43_GGTAGC_L003
		Tx303		Tx303_GTGCTA_L001
				Tx303_GTGCTA_L002
				Tx303_GTGCTA_L003
