SampleID	Tissue	Genotype	directory	file_prefix
	seedling_leaf3	JRB2	/home/springer/data_release/umgc/hiseq/141219_SN261_0584_BC635YACXX/Project_Springer_Project_029	JRB2_NoIndex_L001
		JRC3		JRC3_GTGAAA_L004
				JRC3_GTGAAA_L005
				JRC3_GTGAAA_L006
				JRC3_GTGAAA_L007
				JRC3_GTGAAA_L008
		JRD3		JRD3_NoIndex_L002
		JRF1		JRF1_NoIndex_L003
		JRH1		JRH1_CGATGT_L004
				JRH1_CGATGT_L005
				JRH1_CGATGT_L006
				JRH1_CGATGT_L007
				JRH1_CGATGT_L008
		JRH2		JRH2_ATGTCA_L004
				JRH2_ATGTCA_L005
				JRH2_ATGTCA_L006
				JRH2_ATGTCA_L007
				JRH2_ATGTCA_L008
		TEO11		TEO11_CTTGTA_L004
				TEO11_CTTGTA_L005
				TEO11_CTTGTA_L006
				TEO11_CTTGTA_L007
				TEO11_CTTGTA_L008
		TEO1		TEO1_GCCAAT_L004
				TEO1_GCCAAT_L005
				TEO1_GCCAAT_L006
				TEO1_GCCAAT_L007
				TEO1_GCCAAT_L008
		A632	/home/springer/data_release/umgc/hiseq/150108_SN261_0585_AC6CKPACXX/Project_Springer_Project_029	A632_CGATGT_L001
				A632_CGATGT_L002
				A632_CGATGT_L003
				A632_CGATGT_L004
				A632_CGATGT_L005
				A632_CGATGT_L006
				A632_CGATGT_L007
				A632_CGATGT_L008
		B37		B37_AGTCAA_L001
				B37_AGTCAA_L002
				B37_AGTCAA_L003
				B37_AGTCAA_L004
				B37_AGTCAA_L005
				B37_AGTCAA_L006
				B37_AGTCAA_L007
				B37_AGTCAA_L008
	anther	B73		B73_anther_TGACCA_L001
				B73_anther_TGACCA_L002
				B73_anther_TGACCA_L003
				B73_anther_TGACCA_L004
				B73_anther_TGACCA_L005
				B73_anther_TGACCA_L006
				B73_anther_TGACCA_L007
				B73_anther_TGACCA_L008
	seedling_leaf3	B73		B73_ATGTCA_L001
				B73_ATGTCA_L002
				B73_ATGTCA_L003
				B73_ATGTCA_L004
				B73_ATGTCA_L005
				B73_ATGTCA_L006
				B73_ATGTCA_L007
				B73_ATGTCA_L008
	earshoot	B73		B73_earshoot_ACAGTG_L001
				B73_earshoot_ACAGTG_L002
				B73_earshoot_ACAGTG_L003
				B73_earshoot_ACAGTG_L004
				B73_earshoot_ACAGTG_L005
				B73_earshoot_ACAGTG_L006
				B73_earshoot_ACAGTG_L007
				B73_earshoot_ACAGTG_L008
	flagleaf			B73_flag_leaf_GCCAAT_L001
				B73_flag_leaf_GCCAAT_L002
				B73_flag_leaf_GCCAAT_L003
				B73_flag_leaf_GCCAAT_L004
				B73_flag_leaf_GCCAAT_L005
				B73_flag_leaf_GCCAAT_L006
				B73_flag_leaf_GCCAAT_L007
				B73_flag_leaf_GCCAAT_L008
	SAM			B73_SAM_CAGATC_L001
				B73_SAM_CAGATC_L002
				B73_SAM_CAGATC_L003
				B73_SAM_CAGATC_L004
				B73_SAM_CAGATC_L005
				B73_SAM_CAGATC_L006
				B73_SAM_CAGATC_L007
				B73_SAM_CAGATC_L008
	seedling_leaf3	B97		B97_CCGTCC_L001
				B97_CCGTCC_L002
				B97_CCGTCC_L003
				B97_CCGTCC_L004
				B97_CCGTCC_L005
				B97_CCGTCC_L006
				B97_CCGTCC_L007
				B97_CCGTCC_L008
		JRA2	/home/springer/data_release/umgc/hiseq/150109_SN261_0586_BC69WLACXX/Project_Springer_Project_029	JRA2_TGACCA_L001
				JRA2_TGACCA_L002
				JRA2_TGACCA_L003
				JRA2_TGACCA_L004
				JRA2_TGACCA_L005
				JRA2_TGACCA_L006
		JRC1		JRC1_AGTTCC_L001
				JRC1_AGTTCC_L002
				JRC1_AGTTCC_L003
				JRC1_AGTTCC_L004
				JRC1_AGTTCC_L005
				JRC1_AGTTCC_L006
		JRC2		JRC2_GCCAAT_L001
				JRC2_GCCAAT_L002
				JRC2_GCCAAT_L003
				JRC2_GCCAAT_L004
				JRC2_GCCAAT_L005
				JRC2_GCCAAT_L006
		JRD1		JRD1_ATGTCA_L001
				JRD1_ATGTCA_L002
				JRD1_ATGTCA_L003
				JRD1_ATGTCA_L004
				JRD1_ATGTCA_L005
				JRD1_ATGTCA_L006
		JRE1		JRE1_CCGTCC_L001
				JRE1_CCGTCC_L002
				JRE1_CCGTCC_L003
				JRE1_CCGTCC_L004
				JRE1_CCGTCC_L005
				JRE1_CCGTCC_L006
		JRG1		JRG1_GTGAAA_L001
				JRG1_GTGAAA_L002
				JRG1_GTGAAA_L003
				JRG1_GTGAAA_L004
				JRG1_GTGAAA_L005
				JRG1_GTGAAA_L006
		JRA3	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_029	JRA3_CCGTCC_L001
				JRA3_CCGTCC_L002
				JRA3_CCGTCC_L003
				JRA3_CCGTCC_L004
				JRA3_CCGTCC_L005
				JRA3_CCGTCC_L006
				JRA3_CCGTCC_L007
		JRB1		JRB1_NoIndex_L008
		JRB3		JRB3_GTCCGC_L001
				JRB3_GTCCGC_L002
				JRB3_GTCCGC_L003
				JRB3_GTCCGC_L004
				JRB3_GTCCGC_L005
				JRB3_GTCCGC_L006
				JRB3_GTCCGC_L007
		JRE2		JRE2_CTTGTA_L001
				JRE2_CTTGTA_L002
				JRE2_CTTGTA_L003
				JRE2_CTTGTA_L004
				JRE2_CTTGTA_L005
				JRE2_CTTGTA_L006
				JRE2_CTTGTA_L007
				JRG2_AGTTCC_L001
				JRG2_AGTTCC_L002
				JRG2_AGTTCC_L003
				JRG2_AGTTCC_L004
				JRG2_AGTTCC_L005
				JRG2_AGTTCC_L006
				JRG2_AGTTCC_L007
		PHG47		PHG47_CAGATC_L001
				PHG47_CAGATC_L002
				PHG47_CAGATC_L003
				PHG47_CAGATC_L004
				PHG47_CAGATC_L005
				PHG47_CAGATC_L006
				PHG47_CAGATC_L007
		PHJ40		PHJ40_AGTCAA_L001
				PHJ40_AGTCAA_L002
				PHJ40_AGTCAA_L003
				PHJ40_AGTCAA_L004
				PHJ40_AGTCAA_L005
				PHJ40_AGTCAA_L006
				PHJ40_AGTCAA_L007
		HP301	/home/springer/data_release/umgc/hiseq/150213_SN261_0589_AC64Y7ACXX/Project_Springer_Project_029	HP301_TGACCA_L001
				HP301_TGACCA_L002
				HP301_TGACCA_L003
				HP301_TGACCA_L004
				HP301_TGACCA_L005
				HP301_TGACCA_L006
		IL14		IL14_ACAGTG_L001
				IL14_ACAGTG_L002
				IL14_ACAGTG_L003
				IL14_ACAGTG_L004
				IL14_ACAGTG_L005
				IL14_ACAGTG_L006
		JRA1		JRA1_CTTGTA_L001
				JRA1_CTTGTA_L002
				JRA1_CTTGTA_L003
				JRA1_CTTGTA_L004
				JRA1_CTTGTA_L005
				JRA1_CTTGTA_L006
		JRD2		JRD2_CAGATC_L001
				JRD2_CAGATC_L002
				JRD2_CAGATC_L003
				JRD2_CAGATC_L004
				JRD2_CAGATC_L005
				JRD2_CAGATC_L006
		JRF2		JRF2_AGTCAA_L001
				JRF2_AGTCAA_L002
				JRF2_AGTCAA_L003
				JRF2_AGTCAA_L004
				JRF2_AGTCAA_L005
				JRF2_AGTCAA_L006
		LH123HT		LH123HT_GCCAAT_L001
				LH123HT_GCCAAT_L002
				LH123HT_GCCAAT_L003
				LH123HT_GCCAAT_L004
				LH123HT_GCCAAT_L005
				LH123HT_GCCAAT_L006
