SampleID	Tissue	Genotype	directory	file_prefix
			/home/springer/data_release/umgc/hiseq/160128_SN1073_0539_BH2TYYADXY/Springer_Project_035	SeqCapEpi2_Cap1_A10_S10
				SeqCapEpi2_Cap1_A11_S11
				SeqCapEpi2_Cap1_A12_S12
				SeqCapEpi2_Cap1_A13_S13
				SeqCapEpi2_Cap1_A14_S14
				SeqCapEpi2_Cap1_A15_S15
				SeqCapEpi2_Cap1_A16_S16
				SeqCapEpi2_Cap1_A18_S17
				SeqCapEpi2_Cap1_A19_S18
				SeqCapEpi2_Cap1_A1_S1
				SeqCapEpi2_Cap1_A20_S19
				SeqCapEpi2_Cap1_A21_S20
				SeqCapEpi2_Cap1_A22_S21
				SeqCapEpi2_Cap1_A23_S22
				SeqCapEpi2_Cap1_A25_S23
				SeqCapEpi2_Cap1_A27_S24
				SeqCapEpi2_Cap1_A2_S2
				SeqCapEpi2_Cap1_A3_S3
				SeqCapEpi2_Cap1_A4_S4
				SeqCapEpi2_Cap1_A5_S5
				SeqCapEpi2_Cap1_A6_S6
				SeqCapEpi2_Cap1_A7_S7
				SeqCapEpi2_Cap1_A8_S8
				SeqCapEpi2_Cap1_A9_S9
