SampleID	Tissue	Genotype	directory	file_prefix
	seedling_leaf3	LH82	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028	LH82_CGATGT_L002
				LH82_CGATGT_L003
				LH82_CGATGT_L004
				LH82_CGATGT_L005
				LH82_CGATGT_L006
				LH82_CGATGT_L007
		Mo17		MO17_TGACCA_L002
				MO17_TGACCA_L003
				MO17_TGACCA_L004
				MO17_TGACCA_L005
				MO17_TGACCA_L006
				MO17_TGACCA_L007
		P39		P39_ACAGTG_L002
				P39_ACAGTG_L003
				P39_ACAGTG_L004
				P39_ACAGTG_L005
				P39_ACAGTG_L006
				P39_ACAGTG_L007
		PH207		PH207_GCCAAT_L002
				PH207_GCCAAT_L003
				PH207_GCCAAT_L004
				PH207_GCCAAT_L005
				PH207_GCCAAT_L006
				PH207_GCCAAT_L007
		PHZ51		PHZ51_AGTTCC_L002
				PHZ51_AGTTCC_L003
				PHZ51_AGTTCC_L004
				PHZ51_AGTTCC_L005
				PHZ51_AGTTCC_L006
				PHZ51_AGTTCC_L007
		W22		W22_ATGTCA_L002
				W22_ATGTCA_L003
				W22_ATGTCA_L004
				W22_ATGTCA_L005
				W22_ATGTCA_L006
				W22_ATGTCA_L007
		LH82	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028	LH82_CGATGT_L005
		Mo17		MO17_TGACCA_L005
		P39		P39_ACAGTG_L005
		PH207		PH207_GCCAAT_L005
		PHZ51		PHZ51_AGTTCC_L005
		W22		W22_ATGTCA_L005
		PH207	/home/springer/data_release/umgc/hiseq/150204_SN261_0588_BC69T4ACXX/Project_Springer_Project_028	PH207_GCCAAT_L001
				PH207_GCCAAT_L002
				PH207_GCCAAT_L003
				PH207_GCCAAT_L004
				PH207_GCCAAT_L005
				PH207_GCCAAT_L006
				PH207_GCCAAT_L007
